2025-07-11 01:04:17,779 [INFO] Merged node DocumentSoort(key=LIJST_VAN_VRAGEN) props={'key': 'LIJST_VAN_VRAGEN', 'prefLabel': 'Lijst van vragen'}
2025-07-11 01:04:17,779 [INFO] Merged node DocumentSoort(key=MEDEDELING_UITSTEL_ANTWOORD) props={'key': 'MEDEDELING_UITSTEL_ANTWOORD', 'prefLabel': 'Mededeling (uitstel antwoord)'}
2025-07-11 01:04:17,779 [INFO] Merged node DocumentSoort(key=MEDEDELING) props={'key': 'MEDEDELING', 'prefLabel': 'Mededeling'}
2025-07-11 01:04:17,780 [INFO] Merged node DocumentSoort(key=MEMORIE_VAN_TOELICHTING_INITIATIEFVOORSTEL) props={'key': 'MEMORIE_VAN_TOELICHTING_INITIATIEFVOORSTEL', 'prefLabel': 'Memorie van toelichting (initiatiefvoorstel)'}
2025-07-11 01:04:17,780 [INFO] Merged node DocumentSoort(key=MEMORIE_VAN_TOELICHTING) props={'key': 'MEMORIE_VAN_TOELICHTING', 'prefLabel': 'Memorie van toelichting'}
2025-07-11 01:04:17,781 [INFO] Merged node DocumentSoort(key=MONDELINGE_VRAGEN) props={'key': 'MONDELINGE_VRAGEN', 'prefLabel': 'Mondelinge vragen'}
2025-07-11 01:04:17,781 [INFO] Merged node DocumentSoort(key=MOTIE_GEWIJZIGDNADER) props={'key': 'MOTIE_GEWIJZIGDNADER', 'prefLabel': 'Motie (gewijzigd/nader)'}
2025-07-11 01:04:17,781 [INFO] Merged node DocumentSoort(key=MOTIE) props={'key': 'MOTIE', 'prefLabel': 'Motie'}
2025-07-11 01:04:17,782 [INFO] Merged node DocumentSoort(key=NADER_RAPPORT) props={'key': 'NADER_RAPPORT', 'prefLabel': 'Nader rapport'}
2025-07-11 01:04:17,782 [INFO] Merged node DocumentSoort(key=NETWERKVERKENNING) props={'key': 'NETWERKVERKENNING', 'prefLabel': 'Netwerkverkenning'}
2025-07-11 01:04:17,783 [INFO] Merged node DocumentSoort(key=NOTA_NAV_HET_NADERTWEEDE_NADERENZ_VERSLAG) props={'key': 'NOTA_NAV_HET_NADERTWEEDE_NADERENZ_VERSLAG', 'prefLabel': 'Nota n.a.v. het (nader/tweede nader/enz.) verslag'}
2025-07-11 01:04:17,783 [INFO] Merged node DocumentSoort(key=NOTA_VAN_VERBETERING) props={'key': 'NOTA_VAN_VERBETERING', 'prefLabel': 'Nota van verbetering'}
2025-07-11 01:04:17,784 [INFO] Merged node DocumentSoort(key=NOTA_VAN_WIJZIGING_INITIATIEFVOORSTEL) props={'key': 'NOTA_VAN_WIJZIGING_INITIATIEFVOORSTEL', 'prefLabel': 'Nota van wijziging (initiatiefvoorstel)'}
2025-07-11 01:04:17,784 [INFO] Merged node DocumentSoort(key=NOTA_VAN_WIJZIGING) props={'key': 'NOTA_VAN_WIJZIGING', 'prefLabel': 'Nota van wijziging'}
2025-07-11 01:04:17,784 [INFO] Merged node DocumentSoort(key=NOTA) props={'key': 'NOTA', 'prefLabel': 'Nota'}
2025-07-11 01:04:17,785 [INFO] Merged node DocumentSoort(key=ONDERZOEKSVOORSTEL) props={'key': 'ONDERZOEKSVOORSTEL', 'prefLabel': 'Onderzoeksvoorstel'}
